Título;Descrição IMDB;Gênero;Nota;Descrição
O Quarto do Pânico;Uma trintona divorciada e a sua filha são apanhadas num jogo de gato e rato no seu novo imóvel em Nova Iorque quando três ladrões entram lá em busca de dinheiro que ali foi escondido.;Policial,Drama,Suspense;6.8;um trintona divorciar e o seu filha ser apanhar em um jogo de gato e rato em o seu novo imóvel em Nova Iorque quando três ladrão entrar lá em busca de dinheiro que ali ser esconder.
Pinte de Açafrão;A história de seis jovens índios que ajudam uma inglesa a filmar um documentário sobre os combatentes da liberdade de seu passado e os eventos que os levam a reviver a saga da liberdade.;Comédia,Policial,Drama;8.1;o história de seis jovem índio que ajudar um inglês a filmar um documentário sobre o combatente de o liberdade de seu passado e o evento que o levar a reviver o saga de o liberdade.
Adeus, Minha Rainha;Um olhar sobre a relação platônica entre Maria Antonieta e uma de suas leitoras durante os primeiros dias da Revolução Francesa.;Drama,História,Romance;6.2;um olhar sobre o relação platônico entre Maria Antonieta e um de seu leitora durante o primeiro dia de o Revolução Francesa.
Paddleton;Uma amizade improvável entre dois vizinhos desajustados se transforma em uma viagem emocional quando o homem mais jovem é diagnosticado com câncer terminal.;Comédia,Drama;7.1;um amizade improvável entre dois vizinho desajustar se transformar em um viagem emocional quando o homem mais jovem ser diagnosticar com câncer terminal.
ATL: O Som Do Gueto;Enquanto quatro amigos se preparam para a vida após o ensino médio, diferentes desafios trazem pontos de virada em cada uma de suas vidas.Os dramas se desenrolam e resolvem em sua pista local, Cascade.;Comédia,Policial,Drama;6.1;enquanto quatro amigo se preparar para o vida após o ensino médio, diferentes desafio trazer ponto de virada em cada um de seu vida. o drama se desenrolar e resolver em seu pista local, Cascade.
O Albergue;Três mochileiros partem para uma cidade eslovaca que promete satisfazer suas expectativas hedonistas, sem a menor idéia do inferno que os aguarda.;Terror;5.9;três mochileiro partir para um cidade eslovaco que prometer satisfazer seu expectativa hedonista, sem o pequeno idéia de o inferno que o aguardar.
O Quarto Secreto;Abalado pela notícia inesperada do seu rompimento irreversível, um aspirante a maestro de orquestra fica intrigado com o caso misterioso e aparentemente inexplicável do desaparecimento da sua namorada. Poderá olhar além dos fatos?;Drama,Mistério,Suspense;7.3;abalar por o notícia inesperado de o seu rompimento irreversível, um aspirante a maestro de orquestra ficar intrigado com o caso misterioso e aparentemente inexplicável de o desaparecimento de o seu namorada. poder olhar além de o fato ?
Numb;Um roteirista com depressão crônica tenta desesperadamente curar sua condição quando conhece a garota dos seus sonhos.;Comédia,Drama,Romance;6.6;um roteirista com depressão crônico tentar desesperadamente curar seu condição quando conhecer o garota de o seu sonho.
(A) Fronteira;Um bando de jovens ladrões foge de Paris durante as violentas consequências de uma eleição política, apenas para se refugiar em uma pousada dirigida por neonazistas.;Terror;6.2;um bando de jovem ladrão fugir de Paris durante o violento consequência de um eleição político, apenas para se refugiar em um pousada dirigir por neonazista.
Fora de Controle;A história do que acontece um dia em Nova York, quando um jovem advogado e um homem de negócios têm um pequeno acidente de carro e sua raiva mútua se transforma em uma briga.;Drama,Suspense;6.5;o história de o que acontecer um dia em Nova York, quando um jovem advogado e um homem de negócio ter um pequeno acidente de carro e seu raiva mútuo se transformar em um briga.
Bicho de Sete Cabeças;Uma viagem à instituição mental infernal.Essa odisseia é vivida por Neto, um adolescente de classe média, que vive uma vida normal até que seu pai o mande a uma instituição mental depois de encontrar drogas no bolso.O cigarro de maconha é apenas a queda final que expõe a tragédia da família.Enviar para uma instituição mental, Neto conhece uma realidade completamente absurda e desumana ...;Drama;7.7;um viagem a o instituição mental infernal. esse odisseia ser viver por Neto, um adolescente de classe médio, que viver um vida normal até que seu pai o mander a um instituição mental depois de encontrar droga em o bolso. o cigarro de maconha ser apenas o queda final que expor o tragédia de o família. enviar para um instituição mental, Neto conhecer um realidade completamente absurdo e desumano...
Loucuras de Carnaval;Um grupo de amigos da faculdade semeia sua aveia selvagem em Nova Orleans.;Comédia;5.1;um grupo de amigo de o faculdade semer seu aveia selvagem em Nova Orleans.
Gênio Indomável;Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.;Drama,Romance;8.3;Will Hunting, um zelador de um Universidade, ter habilidade para o matemática, mas precisar de o ajuda de um psicólogo para encontrar seu propósito.
