Título;Descrição;Gênero;Nota
O Quarto do Pânico;Uma trintona divorciada e a sua filha são apanhadas num jogo de gato e rato no seu novo imóvel em Nova Iorque quando três ladrões entram lá em busca de dinheiro que ali foi escondido.;Policial,Drama,Suspense;6.8
Pinte de Açafrão;A história de seis jovens índios que ajudam uma inglesa a filmar um documentário sobre os combatentes da liberdade de seu passado e os eventos que os levam a reviver a saga da liberdade.;Comédia,Policial,Drama;8.1
Adeus, Minha Rainha;Um olhar sobre a relação platônica entre Maria Antonieta e uma de suas leitoras durante os primeiros dias da Revolução Francesa.;Drama,História,Romance;6.2
Paddleton;Uma amizade improvável entre dois vizinhos desajustados se transforma em uma viagem emocional quando o homem mais jovem é diagnosticado com câncer terminal.;Comédia,Drama;7.1
ATL: O Som Do Gueto;Enquanto quatro amigos se preparam para a vida após o ensino médio, diferentes desafios trazem pontos de virada em cada uma de suas vidas.Os dramas se desenrolam e resolvem em sua pista local, Cascade.;Comédia,Policial,Drama;6.1
O Albergue;Três mochileiros partem para uma cidade eslovaca que promete satisfazer suas expectativas hedonistas, sem a menor idéia do inferno que os aguarda.;Terror;5.9
O Quarto Secreto;Abalado pela notícia inesperada do seu rompimento irreversível, um aspirante a maestro de orquestra fica intrigado com o caso misterioso e aparentemente inexplicável do desaparecimento da sua namorada. Poderá olhar além dos fatos?;Drama,Mistério,Suspense;7.3
Numb;Um roteirista com depressão crônica tenta desesperadamente curar sua condição quando conhece a garota dos seus sonhos.;Comédia,Drama,Romance;6.6
(A) Fronteira;Um bando de jovens ladrões foge de Paris durante as violentas consequências de uma eleição política, apenas para se refugiar em uma pousada dirigida por neonazistas.;Terror;6.2
Fora de Controle;A história do que acontece um dia em Nova York, quando um jovem advogado e um homem de negócios têm um pequeno acidente de carro e sua raiva mútua se transforma em uma briga.;Drama,Suspense;6.5
Bicho de Sete Cabeças;Uma viagem à instituição mental infernal.Essa odisseia é vivida por Neto, um adolescente de classe média, que vive uma vida normal até que seu pai o mande a uma instituição mental depois de encontrar drogas no bolso.O cigarro de maconha é apenas a queda final que expõe a tragédia da família.Enviar para uma instituição mental, Neto conhece uma realidade completamente absurda e desumana ...;Drama;7.7
Loucuras de Carnaval;Um grupo de amigos da faculdade semeia sua aveia selvagem em Nova Orleans.;Comédia;5.1
Gênio Indomável;Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.;Drama,Romance;8.3
Contra a Parede;Com a intenção de se libertar das rígidas restrições familiares, uma jovem mulher suicida cria um casamento de conveniência com um viciado de quarenta anos, um ato que levará a uma explosão de amor invejável.;Drama,Romance;7.9
Anma to onna;Dois massagistas cegos viajam para um retiro na montanha.Um deles se apaixona por uma senhora visitante de Tóquio e investiga uma série de roubos.;Drama;7.1
Sob Suspeita;Um advogado rico de San Juan é levado à delegacia para fazer-lhe perguntas sobre o corpo de uma menina de 12 anos em um parque. Outra jovem também foi estuprada e assassinada semanas antes e as evidências apontam para ele.;Policial,Drama,Suspense;6.4
The Acid House;Três contos distorcidos de abuso, drogas, personalidades deslocadas e vida de insetos do escritor escocês Irvine Welsh.;Comédia,Drama;6.2
Organize Isler;Um jovem comediante suicida e suicida encontra um ladrão de carros que está disposto a ensinar -lhe algumas coisas sobre sua profissão.;Comédia,Drama;7.4
Prête-moi ta main;"Luis gosta da liberdade de ser solteiro.Ele tem um cheiro de perfumes e, portanto, dinheiro.No entanto, suas 5 irmãs e mãe acreditam que, aos 43 anos, ele deveria estar procurando uma esposa, não uma noite.Eles encontram candi/datas.Ele contrata uma ""noiva"".";Comédia,Romance;6.7
Morcegos;Os morcegos geneticamente mutados escapam e cabe a um especialista em morcegos e ao xerife local detê -los.;Terror,Ficção científica,Suspense;3.9
Regalo di Natale;Na noite de Natal, um grupo de ex -amigos se reúne depois de muito tempo com a intenção de arrancar um industrial rico em um jogo de pôquer.Ódulos e desconfiança antigos conflitam com a nostalgia pelas amizades perdidas.;Drama;7.6
No Caminho das Dunas;A busca de um adolescente por amor o leva a ficar obcecado por uma criança que mora perto.;Drama,Romance;7.1
Império;Um traficante bem -sucedido de drogas do South Bronx vira as costas em suas raízes e dá dinheiro a um corretor de Wall Street para investir para ele.;Policial,Drama,Suspense;5.9
Identidade;Desamparados em um motel desolado de Nevada durante uma violenta tempestade, dez estranhos se encontram quando percebem que estão sendo mortos um a um.;Mistério,Suspense;7.3
O Operário;Um trabalhador industrial que não dormiu em um ano começa a duvidar de sua própria sanidade.;Drama,Suspense;7.7
22 Milhas;Um oficial de elite da inteligência americana, com a ajuda de uma unidade altamente secreta de ordens táticas, tenta extrair um misterioso policial com informações confidenciais do país.;Ação,Suspense;6.1
Boudu, Salvo das Águas;Um livreiro salva um vagabundo de se afogar e abriga -o, mas o comportamento estranho do Tramp começa a desgastar todos.;Comédia;7.3
Cara Gente Branca;A vida de quatro estudantes negros em uma faculdade da Ivy League.;Comédia,Drama,Romance;6.1
Bronco Billy;Um vaqueiro idealista dos tempos modernos luta para manter seu show do Oeste Selvagem à tona diante da má sorte e do interesse decrescente.;Ação,Aventura,Comédia;6.1
Garotas sem Rumo;Duas meninas ricas dos subúrbios colidem com a cultura de gangues latinas do leste de Los Angeles.;Policial,Drama;5.4
Desconstruindo Harry;Avidamente aguardando seu prêmio de literatura, Harry Block recorda acontecimentos de seu passado e cenas de seus livros mais vendidos como personagens, reais e fictícios, voltam para assombrá-lo.;Comédia;7.3
Alto Controle;Uma rixa se desenvolve entre dois controladores de tráfego aéreo: um arrogante e determinado, enquanto o outro é contido e despreocupado, o que inevitavelmente afeta suas vidas.;Comédia,Drama,Romance;6.0
Colapso no Ártico;Enviado para avaliar o impacto ambiental da perfuração de petróleo no Árctico, James Hoffman entra em conflito com o chefe da equipa de perfuração, que quer fazer o trabalho.;Terror,Mistério,Suspense;5.5
A Profecia;Um funcionário americano percebe que seu jovem filho pode ser literalmente o diabo encarnado.;Drama,Fantasia,Terror;5.5
Um Conto de Canterbury;Três peregrinos modernos investigam um crime bizarro em uma pequena cidade a caminho de Canterbury.;Comédia,Drama,Mistério;7.4
Loucos por Dinheiro;Quando um casal descobre que um bule de chá lhes dá dinheiro toda vez que se lesionam, eles devem aceitar até onde estão dispostos a ir.;Comédia,Fantasia,Suspense;6.3
Felizes Dezesseis;Determinado a ter uma vida familiar normal assim que sua mãe sair da prisão, um adolescente escocês, vindo de uma dura realidade social, sai em busca de arrumar dinheiro para comprar uma casa.;Policial,Drama;7.4
[Rec];Um repórter de televisão e um cinegrafista seguem uma equipe de emergência para um prédio escuro e rapidamente ficam presos dentro de algo assustador;Terror,Mistério,Suspense;7.4
O Fio da Suspeita;Uma mulher rica é assassinada em sua casa de praia.O marido é supostamente nocauteado primeiro.Ele herda tudo.Ele tem uma ex -promotora criminal que o representa no tribunal.;Drama,Mistério,Suspense;6.5
Ferida Aberta;Monique está morrendo. Ao seu redor, se reúnem seu marido infiel, seu filho, que é parecido com o pai, e sua nora. Nós os observamos brincando com a vida enquanto ela morre.;Drama;7.4
Waar;Os esforços das forças de segurança paquistanesas em sua luta contra o terrorismo e como a vida dos funcionários de segurança são afetados.Um oficial de segurança aposentado retorna para salvar o Paquistão de um grande ataque terrorista.;Ação,Policial,Drama;7.5
Gallipoli;Dois velocistas australianos enfrentam as realidades brutais da guerra quando são enviadas para lutar na campanha de Gallipoli na Turquia durante a Primeira Guerra Mundial.;Aventura,Drama,História;7.4
A Hora do Rango;Os jovens funcionários do restaurante Shenaniganz evitam coletivamente o tédio e a idade adulta com suas artimanhas.;Comédia;6.7
Mulheres: O Sexo Forte;Uma rica nova-iorquina luta contra a indecisào de deixar seu marido traidor. Enquanto isso, ela e suas amigas descobrem que as mulheres realmente podem ter tudo.;Comédia,Drama;5.0
Meus Caros Amigos;Quatro amigos inseparáveis tentam enfrentar sua crise na meia -idade com excursões e brincadeiras às custas de suas famílias e das pessoas ao seu redor.;Comédia,Drama;8.0
O Sonho Eterno;Um arquiteto da era vitoriana, encomendado pelo duque de Towers para projetar seus estábulos, se apaixona pela duquesa.;Drama,Fantasia,Romance;6.9
Marte Ataca!;A Terra é invadida por marcianos com armas imbatíveis e um senso de humor cruel.;Comédia,Ficção científica;6.4
As Amigas;Uma jovem volta à sua cidade natal, Turim, para montar um novo salão de moda e se envolve com uma mulher problemática e seus três amigos ricos.;Drama,Romance;7.2
Uma Vez Mais;Um homem decide deixar sua esposa e encontra sua felicidade em outro lugar.Ao longo do caminho, ele conhece um homem com quem se apaixona.;Drama;6.9
Um Sonho Possível;A história de Michael Oher, um menino sem teto traumatizado que se tornaria um campeão do futebol americano com a ajuda de uma mulher carinhosa e sua família.;Biografia,Drama,Esportes;7.6
Será Que?;Wallace, exausto após uma série de relacionamentos fracassados, forma um vínculo imediato com Chantry, que vive com seu namorado de toda a vida. Juntos, eles descobrem o que significa se seu melhor amigo é também o amor de sua vida.;Comédia,Romance;6.8
Inocente Mordida;Marie é uma vampira com sede de bandidos.Quando ela deixa de descartar adequadamente uma de suas vítimas, uma violenta chefe da máfia, ela morde mais do que pode mastigar e enfrenta um novo perigo imortal.;Ação,Comédia,Policial;6.2
Romy e Michele;Dois amigos estúpidos e inseparáveis pegam a estrada para a reuniào de dez anos do colégio, e inventam uma mentira sobre suas vidas, no intuito de impressionar seus colegas.;Comédia;6.3
Paixão de Bravo;O campeão aposentado de rodeio Jeff McCloud concorda em ser o mentor do novato competidor de rodeio Wes Merritt contra os desejos da esposa de Merritt, que teme os perigos deste esporte violento.;Ação,Drama,Esportes;7.4
O Doce Amanhã;Um acidente de ônibus numa cidade pequena leva um advogado à cidade para defender as famílias, mas ele descobre que nem tudo é o que parece.;Drama;7.5
Subway;Ao improvisar um roubo na casa de um magnata sombrio, Fred se refugia no universo surreal e no quadril do metrô de Paris e encontra seus variados habitantes, os capangas do magnata e sua jovem esposa desencantada.;Suspense;6.5
