Título;Descrição;Gênero;Nota
O Quarto do Pânico;Uma trintona divorciada e a sua filha são apanhadas num jogo de gato e rato no seu novo imóvel em Nova Iorque quando três ladrões entram lá em busca de dinheiro que ali foi escondido.;Policial,Drama,Suspense;6.8
Pinte de Açafrão;A história de seis jovens índios que ajudam uma inglesa a filmar um documentário sobre os combatentes da liberdade de seu passado e os eventos que os levam a reviver a saga da liberdade.;Comédia,Policial,Drama;8.1
Adeus, Minha Rainha;Um olhar sobre a relação platônica entre Maria Antonieta e uma de suas leitoras durante os primeiros dias da Revolução Francesa.;Drama,História,Romance;6.2
Paddleton;Uma amizade improvável entre dois vizinhos desajustados se transforma em uma viagem emocional quando o homem mais jovem é diagnosticado com câncer terminal.;Comédia,Drama;7.1
ATL: O Som Do Gueto;As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade.;Comédia,Policial,Drama;6.1
O Albergue;Três mochileiros partem para uma cidade eslovaca que promete satisfazer suas expectativas hedonistas, sem a menor idéia do inferno que os aguarda.;Terror;5.9
O Quarto Secreto;Abalado pela notícia inesperada do seu rompimento irreversível, um aspirante a maestro de orquestra fica intrigado com o caso misterioso e aparentemente inexplicável do desaparecimento da sua namorada. Poderá olhar além dos fatos?;Drama,Mistério,Suspense;7.3
Numb;Um roteirista com depressão crônica tenta desesperadamente curar sua condição quando conhece a garota dos seus sonhos.;Comédia,Drama,Romance;6.6
(A) Fronteira;Um bando de jovens ladrões foge de Paris durante as violentas consequências de uma eleição política, apenas para se refugiar em uma pousada dirigida por neonazistas.;Terror;6.2
Fora de Controle;A história do que acontece um dia em Nova York, quando um jovem advogado e um homem de negócios têm um pequeno acidente de carro e sua raiva mútua se transforma em uma briga.;Drama,Suspense;6.5
Bicho de Sete Cabeças;A trip to the mental institution hell. This odyssey is lived by Neto, a middle class teenager, who lives a normal life until his father sends him to a mental institution after finding drugs on his pocket. The marijuana cigarette is just the final drop that exposes the family tragedy. Send to a mental institution, Neto gets to know a completely absurd, inhumane reality...;Drama;7.7
Loucuras de Carnaval;A group of college buddies sow their wild oats in New Orleans.;Comédia;5.1
Gênio Indomável;Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.;Drama,Romance;8.3
Contra a Parede;Com a intenção de se libertar das rígidas restrições familiares, uma jovem mulher suicida cria um casamento de conveniência com um viciado de quarenta anos, um ato que levará a uma explosão de amor invejável.;Drama,Romance;7.9
Anma to onna;Two blind masseurs travel to a mountain retreat. One of them falls for a visiting lady from Tokyo and investigates a series of thefts.;Drama;7.1
Sob Suspeita;Um advogado rico de San Juan é levado à delegacia para fazer-lhe perguntas sobre o corpo de uma menina de 12 anos em um parque. Outra jovem também foi estuprada e assassinada semanas antes e as evidências apontam para ele.;Policial,Drama,Suspense;6.4
The Acid House;Three twisted tales of abuse, drugs, displaced personalities, and insect life by Scottish writer Irvine Welsh.;Comédia,Drama;6.2
Organize Isler;A struggling, suicidal young comedian meets a car thief who is willing to teach him a few things about his profession.;Comédia,Drama;7.4
Prête-moi ta main;"Luis enjoys the liberty of being single. He has a smell for perfumes and thus money. However, his 5 sisters and mom believe that at 43, he should be looking for a wife, not one-night stands. They find candi/dates. He hires a ""fiancée"".";Comédia,Romance;6.7
Morcegos;Genetically mutated bats escape and it's up to a bat expert and the local sheriff to stop them.;Terror,Ficção científica,Suspense;3.9
Regalo di Natale;On Christmas night, a group of former friends reunites after a very long time with the intent of ripping off a rich industrialist in a game of poker. Old hatreds and mistrusts conflict with nostalgia for the lost friendships.;Drama;7.6
No Caminho das Dunas;A busca de um adolescente por amor o leva a ficar obcecado por uma criança que mora perto.;Drama,Romance;7.1
Império;A successful South Bronx drug dealer turns his back on his roots and gives money to a Wall Street broker to invest for him.;Policial,Drama,Suspense;5.9
Identidade;Desamparados em um motel desolado de Nevada durante uma violenta tempestade, dez estranhos se encontram quando percebem que estão sendo mortos um a um.;Mistério,Suspense;7.3
O Operário;Um trabalhador industrial que não dormiu em um ano começa a duvidar de sua própria sanidade.;Drama,Suspense;7.7
22 Milhas;Um oficial de elite da inteligência americana, com a ajuda de uma unidade altamente secreta de ordens táticas, tenta extrair um misterioso policial com informações confidenciais do país.;Ação,Suspense;6.1
Boudu, Salvo das Águas;A bookseller saves a tramp from drowning and shelters him, but the tramp's odd behavior starts to wear everyone down.;Comédia;7.3
Cara Gente Branca;A vida de quatro estudantes negros em uma faculdade da Ivy League.;Comédia,Drama,Romance;6.1
Bronco Billy;Um vaqueiro idealista dos tempos modernos luta para manter seu show do Oeste Selvagem à tona diante da má sorte e do interesse decrescente.;Ação,Aventura,Comédia;6.1
Garotas sem Rumo;Duas meninas ricas dos subúrbios colidem com a cultura de gangues latinas do leste de Los Angeles.;Policial,Drama;5.4
Desconstruindo Harry;Avidamente aguardando seu prêmio de literatura, Harry Block recorda acontecimentos de seu passado e cenas de seus livros mais vendidos como personagens, reais e fictícios, voltam para assombrá-lo.;Comédia;7.3
Alto Controle;Uma rixa se desenvolve entre dois controladores de tráfego aéreo: um arrogante e determinado, enquanto o outro é contido e despreocupado, o que inevitavelmente afeta suas vidas.;Comédia,Drama,Romance;6.0
Colapso no Ártico;Enviado para avaliar o impacto ambiental da perfuração de petróleo no Árctico, James Hoffman entra em conflito com o chefe da equipa de perfuração, que quer fazer o trabalho.;Terror,Mistério,Suspense;5.5
A Profecia;Um funcionário americano percebe que seu jovem filho pode ser literalmente o diabo encarnado.;Drama,Fantasia,Terror;5.5
Um Conto de Canterbury;Three modern day pilgrims investigate a bizarre crime in a small town on the way to Canterbury.;Comédia,Drama,Mistério;7.4
Loucos por Dinheiro;Quando um casal descobre que um bule de chá lhes dá dinheiro toda vez que se lesionam, eles devem aceitar até onde estão dispostos a ir.;Comédia,Fantasia,Suspense;6.3
Felizes Dezesseis;Determinado a ter uma vida familiar normal assim que sua mãe sair da prisão, um adolescente escocês, vindo de uma dura realidade social, sai em busca de arrumar dinheiro para comprar uma casa.;Policial,Drama;7.4
[Rec];Um repórter de televisão e um cinegrafista seguem uma equipe de emergência para um prédio escuro e rapidamente ficam presos dentro de algo assustador;Terror,Mistério,Suspense;7.4
O Fio da Suspeita;A wealthy woman is murdered in her beach house. The husband is allegedly knocked out first. He inherits all. He has a female ex criminal prosecutor represent him in court.;Drama,Mistério,Suspense;6.5
Ferida Aberta;Monique está morrendo. Ao seu redor, se reúnem seu marido infiel, seu filho, que é parecido com o pai, e sua nora. Nós os observamos brincando com a vida enquanto ela morre.;Drama;7.4
Waar;The efforts of the Pakistani security forces in their fight against terrorism and how the lives of security officials are affected. A retired security officer returns to save Pakistan from a major terrorist attack.;Ação,Policial,Drama;7.5
Gallipoli;Two Australian sprinters face the brutal realities of war when they are sent to fight in the Gallipoli campaign in Turkey during World War I.;Aventura,Drama,História;7.4
A Hora do Rango;Os jovens funcionários do restaurante Shenaniganz evitam coletivamente o tédio e a idade adulta com suas artimanhas.;Comédia;6.7
Mulheres: O Sexo Forte;Uma rica nova-iorquina luta contra a indecisào de deixar seu marido traidor. Enquanto isso, ela e suas amigas descobrem que as mulheres realmente podem ter tudo.;Comédia,Drama;5.0
Meus Caros Amigos;Four inseparable friends try to face their midlife crisis with daytrips and pranks at the expense of their families and the people around them.;Comédia,Drama;8.0
O Sonho Eterno;A Victorian-era architect, commissioned by the Duke of Towers to design his stables, falls in love with the Duchess.;Drama,Fantasia,Romance;6.9
Marte Ataca!;A Terra é invadida por marcianos com armas imbatíveis e um senso de humor cruel.;Comédia,Ficção científica;6.4
As Amigas;A young woman returns to her hometown of Turin to set up a new fashion salon and gets involved with a troubled woman and her three wealthy friends.;Drama,Romance;7.2
Uma Vez Mais;A man decides to leave his wife and finds his happiness elsewhere. Along the way he meets a man with whom he falls in love.;Drama;6.9
Um Sonho Possível;A história de Michael Oher, um menino sem teto traumatizado que se tornaria um campeão do futebol americano com a ajuda de uma mulher carinhosa e sua família.;Biografia,Drama,Esportes;7.6
Será Que?;Wallace, exausto após uma série de relacionamentos fracassados, forma um vínculo imediato com Chantry, que vive com seu namorado de toda a vida. Juntos, eles descobrem o que significa se seu melhor amigo é também o amor de sua vida.;Comédia,Romance;6.8
Inocente Mordida;Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger.;Ação,Comédia,Policial;6.2
Romy e Michele;Dois amigos estúpidos e inseparáveis pegam a estrada para a reuniào de dez anos do colégio, e inventam uma mentira sobre suas vidas, no intuito de impressionar seus colegas.;Comédia;6.3
Paixão de Bravo;O campeão aposentado de rodeio Jeff McCloud concorda em ser o mentor do novato competidor de rodeio Wes Merritt contra os desejos da esposa de Merritt, que teme os perigos deste esporte violento.;Ação,Drama,Esportes;7.4
O Doce Amanhã;Um acidente de ônibus numa cidade pequena leva um advogado à cidade para defender as famílias, mas ele descobre que nem tudo é o que parece.;Drama;7.5
Subway;On improvising a burglary at a shady tycoon's home, Fred takes refuge in the hip and surreal universe of the Paris Metro and encounters its assorted denizens, the tycoon's henchmen and his disenchanted young wife.;Suspense;6.5
Adoradores do Diabo;A New York psychiatrist finds that a brujería-inspired cult, which believes in child sacrifice, has a keen interest in his own son.;Policial,Drama,Terror;6.0
Dias Incríveis;Três amigos estão tentando reconquistar seus dias de glória ao abrir uma fraternidade perto de sua alma mater.;Comédia;7.0
Ela e os Caras;A modern retelling of Snow White set against students in their freshman year of college in the greek system.;Comédia,Drama,Romance;6.1
Pulando a Vassoura;Duas famílias muito diferentes convergem em Martha's Vineyard em um fim de semana para um casamento.;Comédia,Drama;5.6
Sangue na Veia;When her husband goes missing during their Caribbean vacation, a woman sets off on her own to take down the men she thinks are responsible.;Ação,Policial,Suspense;5.7
Dívida de Sangue;Uma jovem professora se torna uma fora-da-lei para vingar seu pai assassinado.;Comédia,Romance,Faroeste;6.8
